id,duration,gross,movie_title,budget,title_year,imdb_score
61,96,137850096,A Christmas Carol,200000000,2009,6.8
62,127,47375327,Jupiter Ascending,176000000,2015,5.4
63,110,124051759,The Legend of Tarzan,180000000,2016,6.6
64,150,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,2005,6.9
65,144,154985087,X-Men: Apocalypse,178000000,2016,7.3
66,152,533316061,The Dark Knight,185000000,2008,9
67,96,292979556,Up,175000000,2009,8.3
68,94,198332128,Monsters vs. Aliens,175000000,2009,6.5
69,126,318298180,Iron Man,140000000,2008,7.9
70,126,73820094,Hugo,170000000,2011,7.5
71,106,113745408,Wild Wild West,170000000,1999,4.8
72,112,102176165,The Mummy: Tomb of the Dragon Emperor,145000000,2008,5.2
73,123,161087183,Suicide Squad,175000000,2016,6.9
74,96,100289690,Evan Almighty,175000000,2007,5.4
75,113,100189501,Edge of Tomorrow,178000000,2014,7.9
76,176,88246220,Waterworld,175000000,1995,6.1
77,118,150167630,G.I. Joe: The Rise of Cobra,175000000,2009,5.8
78,95,356454367,Inside Out,175000000,2015,8.3
79,106,362645141,The Jungle Book,175000000,2016,7.8
80,124,312057433,Iron Man 2,200000000,2010,7
81,132,155111815,Snow White and the Huntsman,170000000,2012,6.1
82,97,241407328,Maleficent,180000000,2014,7
83,130,208543795,Dawn of the Planet of the Apes,170000000,2014,7.6
84,109,,The Lovers,,2015,4.5
85,128,38300000,47 Ronin,175000000,2013,6.3
86,136,260000000,Captain America: The Winter Soldier,170000000,2014,7.8
87,93,238000000,Shrek Forever After,165000000,2010,6.4
88,130,93400000,Tomorrowland,190000000,2015,6.5
89,102,222000000,Big Hero 6,165000000,2014,7.9
90,101,189000000,Wreck-It Ralph,165000000,2012,7.8
91,100,665426,The Polar Express,165000000,2004,6.6
92,120,102000000,Independence Day: Resurgence,165000000,2016,5.5
93,98,217000000,How to Train Your Dragon,165000000,2010,8.2
94,109,150000000,Terminator 3: Rise of the Machines,200000000,2003,6.4
95,121,333000000,Guardians of the Galaxy,170000000,2014,8.1
96,169,188000000,Interstellar,165000000,2014,8.6
97,148,293000000,Inception,160000000,2010,8.8
98,120,,Godzilla Resurgence,,2016,8.2
99,182,303000000,The Hobbit: An Unexpected Journey,180000000,2012,7.9
100,106,145000000,The Fast and the Furious,38000000,2001,6.7
101,166,127000000,The Curious Case of Benjamin Button,150000000,2008,7.8
102,132,146000000,X-Men: First Class,160000000,2011,7.8
103,137,282000000,The Hunger Games: Mockingjay - Part 2,160000000,2015,6.6
104,109,63100000,The Sorcerer's Apprentice,150000000,2010,6.1
105,98,60700000,Poseidon,160000000,2006,5.6
106,113,76800000,Alice Through the Looking Glass,170000000,2016,6.4
107,93,321000000,Shrek the Third,160000000,2007,6.1
108,123,47000000,Warcraft,160000000,2016,7.3
109,126,89700000,Terminator Genisys,155000000,2015,6.6
110,113,104000000,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,2010,6.3
111,184,199000000,Pearl Harbor,140000000,2001,6.1
112,144,319000000,Transformers,150000000,2007,7.1
113,206,34300000,Alexander,155000000,2004,5.5
114,138,292000000,Harry Potter and the Order of the Phoenix,150000000,2007,7.5
115,157,290000000,Harry Potter and the Goblet of Fire,150000000,2005,7.6
116,102,228000000,Hancock,150000000,2008,6.4
117,104,256000000,I Am Legend,150000000,2007,7.2
118,115,206000000,Charlie and the Chocolate Factory,150000000,2005,6.7
119,111,206000000,Ratatouille,150000000,2007,8
120,128,205000000,Batman Begins,150000000,2005,8.3
121,89,180000000,Madagascar: Escape 2 Africa,150000000,2008,6.7
122,105,177000000,Night at the Museum: Battle of the Smithsonian,150000000,2009,5.9
123,119,180000000,X-Men Origins: Wolverine,150000000,2009,6.7
124,129,139000000,The Matrix Revolutions,150000000,2003,6.7
125,102,401000000,Frozen,150000000,2013,7.6
126,138,281000000,The Matrix Reloaded,150000000,2003,7.2
127,112,206000000,Thor: The Dark World,170000000,2013,7.1
128,120,154000000,Mad Max: Fury Road,150000000,2015,8.1
129,146,133000000,Angels & Demons,150000000,2009,6.7
130,115,181000000,Thor,150000000,2011,7
131,96,114000000,Bolt,150000000,2008,6.9
132,88,119000000,G-Force,150000000,2009,5.1
133,99,83600000,Wrath of the Titans,150000000,2012,5.8
134,113,79700000,Dark Shadows,100000000,2012,6.2
135,131,195000000,Mission: Impossible - Rogue Nation,150000000,2015,7.4
136,119,61900000,The Wolfman,150000000,2010,5.8
137,110,124000000,The Legend of Tarzan,180000000,2016,6.6
138,91,127000000,Bee Movie,150000000,2007,6.2
139,90,165000000,Kung Fu Panda 2,150000000,2011,7.3
140,103,132000000,The Last Airbender,150000000,2010,4.2
141,124,133000000,Mission: Impossible III,150000000,2006,6.9
142,131,73100000,White House Down,150000000,2013,6.4
143,88,21400000,Mars Needs Moms,150000000,2011,5.4
144,85,64500000,Flushed Away,149000000,2006,6.7
145,111,35000000,Pan,150000000,2015,5.8
146,92,112000000,Mr. Peabody & Sherman,145000000,2014,6.9
147,196,133000000,Troy,175000000,2004,7.2
148,93,216000000,Madagascar 3: Europe's Most Wanted,145000000,2012,6.9
149,133,160000000,Die Another Day,142000000,2002,6.1
150,116,118000000,Ghostbusters,144000000,2016,5.5
151,153,202000000,Armageddon,140000000,1998,6.6
152,88,190000000,Men in Black II,140000000,2002,6.1
153,115,82200000,Beowulf,150000000,2007,6.3
154,95,144000000,Kung Fu Panda 3,145000000,2016,7.2
155,133,209000000,Mission: Impossible - Ghost Protocol,145000000,2011,7.4
156,97,103000000,Rise of the Guardians,145000000,2012,7.3
157,90,110000000,Fun with Dick and Jane,100000000,2005,6.1
158,154,111000000,The Last Samurai,140000000,2003,7.7
159,150,65000000,Exodus: Gods and Kings,140000000,2014,6.1
160,127,258000000,Star Trek,150000000,2009,8
161,121,404000000,Spider-Man,139000000,2002,7.3
162,102,177000000,How to Train Your Dragon 2,145000000,2014,7.9
163,126,31100000,Gods of Egypt,140000000,2016,5.5
164,121,31700000,Stealth,135000000,2005,5
165,215,108000000,Watchmen,130000000,2009,7.7
166,127,130000000,Lethal Weapon 4,140000000,1998,6.6
167,138,132000000,Hulk,137000000,2003,5.7
168,122,123000000,G.I. Joe: Retaliation,130000000,2013,5.8
169,124,68600000,Sahara,130000000,2005,6
170,106,32100000,Final Fantasy: The Spirits Within,137000000,2001,6.4
171,124,177000000,Captain America: The First Avenger,140000000,2011,6.9
172,128,127000000,The World Is Not Enough,135000000,1999,6.4
173,138,93900000,Master and Commander: The Far Side of the World,150000000,2003,7.4
174,115,292000000,The Twilight Saga: Breaking Dawn - Part 2,120000000,2012,5.5
175,100,64000000,Happy Feet 2,135000000,2011,5.9
176,135,135000000,The Incredible Hulk,150000000,2008,6.8
177,60,,"Miami Vice            ",1500000,,7.5
178,117,52800000,The BFG,140000000,2016,6.8
179,156,184000000,The Revenant,135000000,2015,8.1
180,96,83000000,Turbo,135000000,2013,6.5
181,107,123000000,Rango,135000000,2011,7.2
182,92,83300000,Penguins of Madagascar,132000000,2014,6.7
183,115,227000000,The Bourne Ultimatum,110000000,2007,8.1
184,92,215000000,Kung Fu Panda,130000000,2008,7.6
185,117,180000000,Ant-Man,130000000,2015,7.4
186,146,425000000,The Hunger Games: Catching Fire,130000000,2013,7.6
187,115,292000000,The Twilight Saga: Breaking Dawn - Part 2,120000000,2012,5.5
188,94,177000000,Home,135000000,2015,6.7
189,116,234000000,War of the Worlds,132000000,2005,6.5
190,147,138000000,Bad Boys II,130000000,2003,6.6
191,90,149000000,Puss in Boots,130000000,2011,6.7
192,101,118000000,Salt,110000000,2010,6.4
193,138,101000000,Noah,125000000,2014,5.8
194,107,77600000,The Adventures of Tintin,135000000,2011,7.4
195,142,249000000,Harry Potter and the Prisoner of Azkaban,130000000,2004,7.8
196,165,49600000,Australia,130000000,2008,6.6
197,100,60500000,After Earth,130000000,2013,4.9
198,82,138000000,Dinosaur,128000000,2000,6.5
199,,,Harry Potter and the Deathly Hallows: Part II,,2011,7.5
200,98,114000000,Night at the Museum: Secret of the Tomb,127000000,2014,6.2
201,95,148000000,Megamind,130000000,2010,7.3
202,159,318000000,Harry Potter and the Sorcerer's Stone,125000000,2001,7.5
203,96,33600000,R.I.P.D.,130000000,2013,5.6
204,120,,Godzilla Resurgence,,2016,8.2
205,143,305000000,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,2003,8.1
206,,,Harry Potter and the Deathly Hallows: Part I,,2010,6.4
207,123,337000000,The Hunger Games: Mockingjay - Part 1,125000000,2014,6.7
208,174,218000000,The Da Vinci Code,125000000,2006,6.6
209,101,132000000,Rio 2,103000000,2014,6.4
210,134,215000000,X-Men 2,110000000,2003,7.5
211,132,210000000,Fast Five,125000000,2011,7.3
212,129,187000000,Sherlock Holmes: A Game of Shadows,125000000,2011,7.5
213,106,163000000,Clash of the Titans,125000000,2010,5.8
214,113,119000000,Total Recall,65000000,1990,7.5
215,102,32700000,The 13th Warrior,85000000,1999,6.6
216,135,113000000,The Bourne Legacy,125000000,2012,6.7
217,125,107000000,Batman & Robin,125000000,1997,3.7
218,110,260000000,How the Grinch Stole Christmas,123000000,2000,6
219,124,187000000,The Day After Tomorrow,125000000,2004,6.4
220,123,215000000,Mission: Impossible II,125000000,2000,6.1
221,130,183000000,The Perfect Storm,140000000,2000,6.4
222,92,132000000,Fantastic 4: Rise of the Silver Surfer,130000000,2007,5.6
223,127,125000000,Life of Pi,120000000,2012,8
224,123,116000000,Ghost Rider,110000000,2007,5.2
225,123,109000000,Jason Bourne,120000000,2016,7.1
226,107,101000000,Charlie's Angels: Full Throttle,120000000,2003,4.8
227,124,126000000,Prometheus,130000000,2012,7
228,77,64700000,Stuart Little 2,120000000,2002,5.4
229,109,93100000,Elysium,115000000,2013,6.6
230,134,57600000,The Chronicles of Riddick,105000000,2004,6.7
231,117,58600000,RoboCop,100000000,2014,6.2
232,135,43900000,Speed Racer,120000000,2008,6.1
233,121,30200000,How Do You Know,120000000,2010,5.3
234,117,76400000,Knight and Day,117000000,2010,6.3
235,124,89000000,Oblivion,120000000,2013,7
236,140,380000000,Star Wars: Episode III - Revenge of the Sith,113000000,2005,7.6
237,142,311000000,Star Wars: Episode II - Attack of the Clones,115000000,2002,6.7
238,92,290000000,"Monsters, Inc.",115000000,2001,8.1
239,138,133000000,The Wolverine,120000000,2013,6.7
240,136,475000000,Star Wars: Episode I - The Phantom Menace,115000000,1999,6.5
241,98,187000000,The Croods,135000000,2013,7.3
242,116,,Asterix at the Olympic Games,78000000,2008,5.1
243,153,40900000,Windtalkers,115000000,2002,6
244,120,48000000,The Huntsman: Winter's War,115000000,2016,6.1
245,101,191000000,Teenage Mutant Ninja Turtles,125000000,2014,5.9
246,91,274000000,Gravity,100000000,2013,7.8
247,108,67200000,Dante's Peak,116000000,1997,5.8
248,112,81600000,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,2016,6.3
249,100,56100000,Fantastic Four,120000000,2015,4.3
250,108,251000000,Night at the Museum,110000000,2006,6.4
251,114,155000000,San Andreas,110000000,2015,6.1
252,119,125000000,Tomorrow Never Dies,110000000,1997,6.5
253,142,113000000,The Patriot,110000000,2000,7.1
254,125,126000000,Ocean's Twelve,110000000,2004,6.4
255,126,186000000,Mr. & Mrs. Smith,120000000,2005,6.5
256,119,130000000,Insurgent,110000000,2015,6.3
257,170,103000000,The Aviator,110000000,2004,7.5
258,85,42800000,Gulliver's Travels,112000000,2010,4.9
259,119,98800000,The Green Hornet,120000000,2011,5.8
260,60,,"The A-Team            ",,,7.6
261,102,106000000,300: Rise of an Empire,110000000,2014,6.2
262,103,143000000,The Smurfs,110000000,2011,5.5
263,76,50000000,Home on the Range,110000000,2004,5.4
264,120,66000000,Allegiant,110000000,2016,5.8
265,127,85500000,Real Steel,110000000,2011,7.1
266,105,71000000,The Smurfs 2,105000000,2013,5.4
267,121,48100000,Speed 2: Cruise Control,160000000,1997,3.7
268,114,61700000,Ender's Game,110000000,2013,6.7
269,129,135000000,Live Free or Die Hard,110000000,2007,7.2
270,171,314000000,The Lord of the Rings: The Fellowship of the Ring,93000000,2001,8.8
271,120,24000000,Around the World in 80 Days,110000000,2004,5.8
272,165,58200000,Ali,107000000,2001,6.8
273,82,100000000,The Cat in the Hat,109000000,2003,3.8
274,115,145000000,"I, Robot",120000000,2004,7.1
275,194,47400000,Kingdom of Heaven,130000000,2005,7.2
276,84,140000000,Stuart Little,133000000,1999,5.9
277,97,104000000,The Princess and the Frog,105000000,2009,7.1
278,151,228000000,The Martian,108000000,2015,8.1
279,22,,"10,000 B.C.            ",,,7.2
280,136,35800000,The Island,126000000,2005,6.9
281,104,6712451,Town & Country,90000000,2001,4.4
282,127,102000000,Gone in Sixty Seconds,90000000,2000,6.5
283,171,188000000,Gladiator,103000000,2000,8.5
284,145,132000000,Minority Report,102000000,2002,7.7
285,174,262000000,Harry Potter and the Chamber of Secrets,100000000,2002,7.4
286,144,167000000,Casino Royale,150000000,2006,8
287,119,180000000,Planet of the Apes,100000000,2001,5.7
288,153,205000000,Terminator 2: Judgment Day,102000000,1991,8.5
289,140,97000000,Public Enemies,100000000,2009,7
290,176,130000000,American Gangster,100000000,2007,7.8
291,141,146000000,True Lies,115000000,1994,7.2
292,106,65500000,The Taking of Pelham 1 2 3,100000000,2009,6.4
293,98,148000000,Little Fockers,100000000,2010,5.5
294,116,119000000,The Other Guys,100000000,2010,6.7
295,115,101000000,Eraser,100000000,1996,6.1
296,165,163000000,Django Unchained,100000000,2012,8.5
297,91,100000000,The Hunchback of Notre Dame,100000000,1996,6.9
298,78,89300000,The Emperor's New Groove,100000000,2000,7.3
299,103,85000000,The Expendables 2,92000000,2012,6.7
300,131,173000000,National Treasure,100000000,2004,6.9
301,104,75000000,Eragon,100000000,2006,5.1
302,101,77200000,Where the Wild Things Are,100000000,2009,6.8
303,111,35000000,Pan,150000000,2015,5.8
304,102,108000000,Epic,100000000,2013,6.7
305,103,67600000,The Tourist,100000000,2010,6
306,121,66900000,End of Days,83000000,1999,5.7
307,143,57400000,Blood Diamond,100000000,2006,8
308,240,117000000,The Wolf of Wall Street,100000000,2013,8.2
309,121,184000000,Batman Forever,100000000,1995,5.4
310,129,54700000,Starship Troopers,105000000,1997,7.2
311,172,27100000,Cloud Atlas,102000000,2012,7.5
312,101,55700000,Legend of the Guardians: The Owls of Ga'Hoole,80000000,2010,7
313,87,40200000,Catwoman,100000000,2004,3.3
314,101,72700000,Hercules,100000000,2014,6
315,95,38100000,Treasure Planet,140000000,2002,7.1
316,102,49400000,Land of the Lost,100000000,2009,5.4
317,131,39300000,The Expendables 3,90000000,2014,6.1
318,114,28800000,Point Break,105000000,2015,5.3
319,94,17000000,Son of the Mask,84000000,2005,2.2
320,122,25000000,In the Heart of the Sea,100000000,2015,7
321,95,4411102,The Adventures of Pluto Nash,100000000,2002,3.8
322,115,35000000,Green Zone,100000000,2010,6.9
323,88,130000000,The Peanuts Movie,99000000,2015,7.2
324,110,10200000,The Spanish Prisoner,10000000,1997,7.3
325,130,202000000,The Mummy Returns,98000000,2001,6.3
326,216,77700000,Gangs of New York,100000000,2002,7.5
327,146,9213,The Flowers of War,94000000,2011,7.6
328,85,58900000,Surf's Up,100000000,2007,6.8
329,93,59500000,The Stepford Wives,90000000,2004,5.2
330,152,109000000,Black Hawk Down,92000000,2001,7.7
331,85,86900000,The Campaign,95000000,2012,6.2
332,126,63500000,The Fifth Element,93000000,1997,7.7
333,146,95300000,Sex and the City 2,100000000,2010,4.3
334,89,50800000,The Road to El Dorado,95000000,2000,6.9
335,88,161000000,Ice Age: Continental Drift,95000000,2012,6.6
336,105,201000000,Cinderella,95000000,2015,7
337,135,44000000,The Lovely Bones,65000000,2009,6.7
338,100,381000000,Finding Nemo,94000000,2003,8.2
339,192,377000000,The Lord of the Rings: The Return of the King,94000000,2003,8.9
340,172,340000000,The Lord of the Rings: The Two Towers,94000000,2002,8.7
341,102,17200000,Seventh Son,95000000,2014,5.5
342,100,131000000,Lara Croft: Tomb Raider,115000000,2001,5.7
343,119,23000000,Transcendence,100000000,2014,6.3
344,92,181000000,Jurassic Park III,93000000,2001,5.9
345,105,177000000,Rise of the Planet of the Apes,93000000,2011,7.6
346,107,71100000,The Spiderwick Chronicles,90000000,2008,6.6
347,101,67300000,A Good Day to Die Hard,92000000,2013,5.3
348,137,22400000,The Alamo,107000000,2004,6
349,115,261000000,The Incredibles,92000000,2004,8
350,124,11000000,Cutthroat Island,98000000,1995,5.6
351,118,88800000,Percy Jackson & the Olympians: The Lightning Thief,95000000,2010,5.9
352,98,250000000,Men in Black,90000000,1997,7.3
353,82,246000000,Toy Story 2,90000000,1999,7.9
354,98,81600000,Unstoppable,100000000,2010,6.8
355,90,226000000,Rush Hour 2,90000000,2001,6.6
356,130,155000000,What Lies Beneath,100000000,2000,6.6
357,90,125000000,Cloudy with a Chance of Meatballs,100000000,2009,7
358,94,197000000,Ice Age: Dawn of the Dinosaurs,90000000,2009,7
359,114,58200000,The Secret Life of Walter Mitty,90000000,2013,7.3
360,94,125000000,Charlie's Angels,92000000,2000,5.5
361,151,132000000,The Departed,90000000,2006,8.5
362,88,121000000,Mulan,90000000,1998,7.5
363,121,110000000,Tropic Thunder,92000000,2008,7
364,158,103000000,The Girl with the Dragon Tattoo,90000000,2011,7.8
365,128,100000000,Die Hard with a Vengeance,90000000,1995,7.6
366,128,209000000,Sherlock Holmes,90000000,2009,7.6
367,141,,Ben-Hur,,2016,6.1
368,95,84000000,Atlantis: The Lost Empire,120000000,2001,6.8
369,92,85900000,Alvin and the Chipmunks: The Road Chip,90000000,2015,5
370,121,83100000,Valkyrie,75000000,2008,7.1
371,113,100000000,You Don't Mess with the Zohan,90000000,2008,5.5
372,106,78700000,Pixels,88000000,2015,5.6
373,146,78600000,A.I. Artificial Intelligence,100000000,2001,7.1
374,88,75800000,The Haunted Mansion,90000000,2003,4.9
375,150,101000000,Contact,90000000,1997,7.4
376,119,73200000,Hollow Man,95000000,2000,5.7
377,128,72500000,The Interpreter,80000000,2005,6.4
378,106,68600000,Percy Jackson: Sea of Monsters,90000000,2013,5.9
379,117,65700000,Lara Croft Tomb Raider: The Cradle of Life,95000000,2003,5.5
380,129,64700000,Now You See Me 2,90000000,2016,6.9
381,116,61400000,The Saint,68000000,1997,6.2
382,114,26871,Spy Game,92000000,2001,7
383,114,60900000,Mission to Mars,90000000,2000,5.6
384,96,144000000,Rio,90000000,2011,7
385,132,58200000,Bicentennial Man,100000000,1999,6.8
386,104,47500000,Volcano,90000000,1997,5.4
387,111,42900000,The Devil's Own,86000000,1997,6.1
388,138,35200000,K-19: The Widowmaker,100000000,2002,6.7
389,100,56100000,Fantastic Four,120000000,2015,4.3
390,129,37600000,Conan the Barbarian,20000000,1982,6.9
391,144,61600000,Cinderella Man,88000000,2005,8
392,110,190562,The Nutcracker in 3D,90000000,2010,4.4
393,140,120000000,Seabiscuit,87000000,2003,7.3
394,113,242000000,Twister,92000000,1996,6.3
395,106,145000000,The Fast and the Furious,38000000,2001,6.7
396,143,234000000,Cast Away,90000000,2000,7.7
397,108,198000000,Happy Feet,100000000,2006,6.5
398,108,176000000,The Bourne Supremacy,75000000,2004,7.8
399,124,173000000,Air Force One,85000000,1997,6.4
400,116,183000000,Ocean's Eleven,85000000,2001,7.8
401,110,20300000,The Three Musketeers,75000000,2011,5.8
402,91,148000000,Hotel Transylvania,85000000,2012,7.1
403,107,128000000,Enchanted,85000000,2007,7.1
404,44,,"Hannibal            ",,,8.6
405,115,126000000,Safe House,85000000,2012,6.8
406,100,66900000,102 Dalmatians,85000000,2000,4.8
407,104,78000000,Tower Heist,75000000,2011,6.2
408,138,63200000,The Holiday,85000000,2006,6.9
409,140,112000000,Enemy of the State,90000000,1998,7.3
410,120,113000000,It's Complicated,85000000,2009,6.6
411,122,117000000,Ocean's Thirteen,85000000,2007,6.9
412,83,84300000,Open Season,85000000,2006,6.2
413,139,151000000,Divergent,85000000,2014,6.7
414,131,51400000,Enemy at the Gates,68000000,2001,7.6
415,104,47600000,The Rundown,85000000,2003,6.7
416,130,50000000,Last Action Hero,70000000,1993,6.2
417,145,57000000,Memoirs of a Geisha,85000000,2005,7.3
418,104,62500000,The Fast and the Furious: Tokyo Drift,85000000,2006,6
419,97,46400000,Arthur Christmas,100000000,2011,7.1
420,178,44600000,Meet Joe Black,90000000,1998,7.1
421,108,40000000,Collateral Damage,85000000,2002,5.5
422,123,,All That Jazz,,1979,7.8
423,106,64900000,Mirror Mirror,85000000,2012,5.6
424,112,31500000,Scott Pilgrim vs. the World,60000000,2010,7.5
425,135,31100000,The Core,60000000,2003,5.4
426,109,123000000,Nutty Professor II: The Klumps,65000000,2000,4.3
427,86,153000000,Scooby-Doo,84000000,2002,4.9
428,95,13400000,Dredd,35000000,2012,7.1
429,107,137000000,Click,70000000,2006,6.4
430,130,,Creepshow,8000000,1982,6.9
431,82,43600000,Cats & Dogs: The Revenge of Kitty Galore,85000000,2010,4.3
432,88,80200000,Jumper,85000000,2008,6.1
433,120,75800000,Hellboy II: The Golden Army,85000000,2008,7
434,162,33000000,Zodiac,65000000,2007,7.7
435,123,34500000,The 6th Day,82000000,2000,5.9
436,101,243000000,Bruce Almighty,81000000,2003,6.7
437,113,103000000,The Expendables,80000000,2010,6.5
438,110,181000000,Mission: Impossible,80000000,1996,7.1
439,142,408000000,The Hunger Games,78000000,2012,7.3
440,102,254000000,The Hangover Part II,80000000,2011,6.5
441,126,163000000,Batman Returns,80000000,1992,7
442,83,155000000,Over the Hedge,80000000,2006,6.8
443,85,146000000,Lilo & Stitch,80000000,2002,7.2
444,97,82500000,Charlotte's Web,,2006,6.4
445,120,140000000,Deep Impact,75000000,1998,6.1
446,116,53200000,RED 2,84000000,2013,6.7
447,113,158000000,The Longest Yard,82000000,2005,6.4
448,87,133000000,Alvin and the Chipmunks: Chipwrecked,75000000,2011,4.4
449,101,134000000,Grown Ups 2,80000000,2013,5.4
450,110,130000000,Get Smart,80000000,2008,6.5
451,128,125000000,Something's Gotta Give,80000000,2003,6.7
452,138,128000000,Shutter Island,80000000,2010,8.1
453,88,120000000,Four Christmases,80000000,2008,5.6
454,91,128000000,Robots,75000000,2005,6.3
455,138,112000000,Face/Off,80000000,1997,7.3
456,99,110000000,Bedtime Stories,80000000,2008,6.1
457,117,104000000,Road to Perdition,80000000,2002,7.7
458,117,103000000,Just Go with It,80000000,2011,6.4
459,54,,"Daredevil            ",,,8.8
460,123,101000000,Con Air,75000000,1997,6.8
461,118,101000000,Eagle Eye,80000000,2008,6.6
462,154,95600000,Cold Mountain,79000000,2003,7.2
463,118,94800000,The Book of Eli,80000000,2010,6.9
464,90,93000000,Flubber,80000000,1997,5.2
465,113,91200000,The Haunting,80000000,1999,4.9
466,88,90400000,Space Jam,80000000,1996,6.3
467,93,82200000,The Pink Panther,65000000,2006,5.6
468,104,79400000,The Day the Earth Stood Still,80000000,2008,5.5
469,135,76100000,Conspiracy Theory,75000000,1997,6.7
470,134,85700000,Fury,68000000,2014,7.6
471,98,74300000,Six Days Seven Nights,70000000,1998,5.7
472,80,100000000,Yogi Bear,80000000,2010,4.6
473,83,73200000,Spirit: Stallion of the Cimarron,80000000,2002,7
474,102,80400000,Zookeeper,80000000,2011,5.2
475,130,69100000,Lost in Space,80000000,1998,5.1
476,129,65900000,The Manchurian Candidate,80000000,2004,6.6
477,117,821997,Dej Vu,,1997,7
478,89,170000000,Hotel Transylvania 2,80000000,2015,6.7
479,25,,"Bewitched            ",,,7.6
480,74,60500000,Fantasia 2000,80000000,1999,7.3
481,96,56700000,The Time Machine,80000000,2002,5.9
482,114,50600000,Mighty Joe Young,90000000,1998,5.6
483,99,69800000,Swordfish,80000000,2001,6.5
484,129,45400000,The Legend of Zorro,75000000,2005,5.9
485,113,55400000,What Dreams May Come,85000000,1998,7
486,90,39400000,Little Nicky,80000000,2000,5.3
487,118,37900000,The Brothers Grimm,88000000,2005,5.9
488,106,37800000,Mars Attacks!,70000000,1996,6.3
489,81,,Evolution,,2015,6.4
490,117,27800000,The Edge,,1997,6.9
491,89,38500000,Surrogates,80000000,2009,6.3
492,145,34600000,Thirteen Days,80000000,2000,7.3
493,114,32900000,Daylight,80000000,1996,5.8
